"coverage_type","source_object","repo_mapping","module","condition","reason","impact","alternative","property","term","source_section","remarks"
"condition","wk_lsu_ld_ag | 1）line-2490","srcs/xx_lsu_ld_ag.sv","wk_lsu_ld_ag","1）line-2490","排除原因：cachebuffer加速，未实现功能","仅影响所列代码覆盖率统计；不替代功能正确性与全芯片动态签核","静态代码审查；在具备VCS/URG的全芯片环境复核适用边界","DOCX代码覆盖率排除项","待项目评审确认","1.2.3","来源：07_xxx_代码与功能覆盖率排除说明文档.docx；分组及同理排除引用按原文保留"
"condition","wk_lsu_ld_ag | 2）line-2500","srcs/xx_lsu_ld_ag.sv","wk_lsu_ld_ag","2）line-2500","排除原因：同上、同理排除2886、2902","仅影响所列代码覆盖率统计；不替代功能正确性与全芯片动态签核","静态代码审查；在具备VCS/URG的全芯片环境复核适用边界","DOCX代码覆盖率排除项","待项目评审确认","1.2.3","来源：07_xxx_代码与功能覆盖率排除说明文档.docx；分组及同理排除引用按原文保留"
"condition","wk_lsu_ld_ag | 3）line-2462","srcs/xx_lsu_ld_ag.sv","wk_lsu_ld_ag","3）line-2462","排除原因：lag_lrq_pa_vld tie 0，不保存pa。同理排除2462、2468、2451、2431、2459、2472、2454","仅影响所列代码覆盖率统计；不替代功能正确性与全芯片动态签核","静态代码审查；在具备VCS/URG的全芯片环境复核适用边界","DOCX代码覆盖率排除项","待项目评审确认","1.2.3","来源：07_xxx_代码与功能覆盖率排除说明文档.docx；分组及同理排除引用按原文保留"
"condition","wk_lsu_ld_ag | 4）line-2752","srcs/xx_lsu_ld_ag.sv","wk_lsu_ld_ag","4）line-2752","排除原因：tcm未实现，同理排除2457、2426、2566、2775","仅影响所列代码覆盖率统计；不替代功能正确性与全芯片动态签核","静态代码审查；在具备VCS/URG的全芯片环境复核适用边界","DOCX代码覆盖率排除项","待项目评审确认","1.2.3","来源：07_xxx_代码与功能覆盖率排除说明文档.docx；分组及同理排除引用按原文保留"
"condition","wk_lsu_ld_ag | 5）wk_lsu_ld_ag.sv – 1296","srcs/xx_lsu_ld_ag.sv","wk_lsu_ld_ag","5）wk_lsu_ld_ag.sv – 1296","排除原因：ld_ag_stall_vld=1表示ag停顿且上游没有比ag栈更老的请求，不允许发射，因此ld_rf_inst_vld=0，同理排除1279、1184、1298、1311、1325、1337、1344、1358、1367、1377、1386、1395、1416、1424、1294、1309；第二个条件满足前序else if分支，如下图所示：","仅影响所列代码覆盖率统计；不替代功能正确性与全芯片动态签核","静态代码审查；在具备VCS/URG的全芯片环境复核适用边界","DOCX代码覆盖率排除项","待项目评审确认","1.2.3","来源：07_xxx_代码与功能覆盖率排除说明文档.docx；分组及同理排除引用按原文保留"
"condition","wk_lsu_ld_ag | 6）line-2892","srcs/xx_lsu_ld_ag.sv","wk_lsu_ld_ag","6）line-2892","排除原因：lag_ldc_ex1_ahead_predict tie1，同理排除2998、3009，tcm部件同4）","仅影响所列代码覆盖率统计；不替代功能正确性与全芯片动态签核","静态代码审查；在具备VCS/URG的全芯片环境复核适用边界","DOCX代码覆盖率排除项","待项目评审确认","1.2.3","来源：07_xxx_代码与功能覆盖率排除说明文档.docx；分组及同理排除引用按原文保留"
"condition","wk_lsu_ld_ag | 7）wk_lsu_ld_ag.sv – 1482","srcs/xx_lsu_ld_ag.sv","wk_lsu_ld_ag","7）wk_lsu_ld_ag.sv – 1482","排除原因：非原子操作，inst_type=2’b00。","仅影响所列代码覆盖率统计；不替代功能正确性与全芯片动态签核","静态代码审查；在具备VCS/URG的全芯片环境复核适用边界","DOCX代码覆盖率排除项","待项目评审确认","1.2.3","来源：07_xxx_代码与功能覆盖率排除说明文档.docx；分组及同理排除引用按原文保留"
"condition","wk_lsu_ld_ag | 8）wk_lsu_ld_ag.sv-1261","srcs/xx_lsu_ld_ag.sv","wk_lsu_ld_ag","8）wk_lsu_ld_ag.sv-1261","排除原因：ld_ag_stall_vld=0满足前序if分支，进入该分支时，ld_ag_stall_vld不为0。","仅影响所列代码覆盖率统计；不替代功能正确性与全芯片动态签核","静态代码审查；在具备VCS/URG的全芯片环境复核适用边界","DOCX代码覆盖率排除项","待项目评审确认","1.2.3","来源：07_xxx_代码与功能覆盖率排除说明文档.docx；分组及同理排除引用按原文保留"
"condition","wk_lsu_ld_ag | 9）wk_lsu_ld_ag.sv -1375","srcs/xx_lsu_ld_ag.sv","wk_lsu_ld_ag","9）wk_lsu_ld_ag.sv -1375","排除原因：mmu_lsu_pa_vld是mmu_lsu_page_fault的必要条件之一。","仅影响所列代码覆盖率统计；不替代功能正确性与全芯片动态签核","静态代码审查；在具备VCS/URG的全芯片环境复核适用边界","DOCX代码覆盖率排除项","待项目评审确认","1.2.3","来源：07_xxx_代码与功能覆盖率排除说明文档.docx；分组及同理排除引用按原文保留"
"condition","wk_lsu_ld_ag | 10）wk_lsu_ld_ag.sv – 1479","srcs/xx_lsu_ld_ag.sv","wk_lsu_ld_ag","10）wk_lsu_ld_ag.sv – 1479","排除原因：同7）","仅影响所列代码覆盖率统计；不替代功能正确性与全芯片动态签核","静态代码审查；在具备VCS/URG的全芯片环境复核适用边界","DOCX代码覆盖率排除项","待项目评审确认","1.2.3","来源：07_xxx_代码与功能覆盖率排除说明文档.docx；分组及同理排除引用按原文保留"
"condition","wk_lsu_ld_ag | 11）line-2521，排除ld_ag_bypass_en单独为1的条件","srcs/xx_lsu_ld_ag.sv","wk_lsu_ld_ag","11）line-2521，排除ld_ag_bypass_en单独为1的条件","排除愿意：访问字节数为1/2/4/8/16，相当于ld_ag_bypass_en tie1","仅影响所列代码覆盖率统计；不替代功能正确性与全芯片动态签核","静态代码审查；在具备VCS/URG的全芯片环境复核适用边界","DOCX代码覆盖率排除项","待项目评审确认","1.2.3","来源：07_xxx_代码与功能覆盖率排除说明文档.docx；分组及同理排除引用按原文保留"
"condition","wk_lsu_ld_ag | 12）wk_lsu_ld_ag.sv- 2749","srcs/xx_lsu_ld_ag.sv","wk_lsu_ld_ag","12）wk_lsu_ld_ag.sv- 2749","排除原因：跨界LDR类型请求ld_ag_inst_ldr信号只有第一笔有意义，用来产生停顿。第二笔无意义，置x，如下图：","仅影响所列代码覆盖率统计；不替代功能正确性与全芯片动态签核","静态代码审查；在具备VCS/URG的全芯片环境复核适用边界","DOCX代码覆盖率排除项","待项目评审确认","1.2.3","来源：07_xxx_代码与功能覆盖率排除说明文档.docx；分组及同理排除引用按原文保留"
"condition","wk_lsu_ld_ag | 13）2998，排除lag_ldc_ex1_ahead_predict=0的条件","srcs/xx_lsu_ld_ag.sv","wk_lsu_ld_ag","13）2998，排除lag_ldc_ex1_ahead_predict=0的条件","DOCX仅列示该排除项，未另述原因","仅影响所列代码覆盖率统计；不替代功能正确性与全芯片动态签核","静态代码审查；在具备VCS/URG的全芯片环境复核适用边界","DOCX代码覆盖率排除项","待项目评审确认","1.2.3","来源：07_xxx_代码与功能覆盖率排除说明文档.docx；分组及同理排除引用按原文保留"
"condition","wk_lsu_ld_ag | 13）wk_lsu_ld_ag.sv – 1494","srcs/xx_lsu_ld_ag.sv","wk_lsu_ld_ag","13）wk_lsu_ld_ag.sv – 1494","排除原因：ld_ag_ld_inst=0是ld_ag_lsfifo=0的充分条件。ld_ag_ld_inst=0表示原子操作，原子操作ld_ag_lsfifo不为1。","仅影响所列代码覆盖率统计；不替代功能正确性与全芯片动态签核","静态代码审查；在具备VCS/URG的全芯片环境复核适用边界","DOCX代码覆盖率排除项","待项目评审确认","1.2.3","来源：07_xxx_代码与功能覆盖率排除说明文档.docx；分组及同理排除引用按原文保留"
"condition","wk_lsu_ld_ag | 14）wk_lsu_ld_ag.sv -2698","srcs/xx_lsu_ld_ag.sv","wk_lsu_ld_ag","14）wk_lsu_ld_ag.sv -2698","排除原因：lag_ldc_ex1_inst_vls是ld_ag_ld_inst充分条件。","仅影响所列代码覆盖率统计；不替代功能正确性与全芯片动态签核","静态代码审查；在具备VCS/URG的全芯片环境复核适用边界","DOCX代码覆盖率排除项","待项目评审确认","1.2.3","来源：07_xxx_代码与功能覆盖率排除说明文档.docx；分组及同理排除引用按原文保留"
"condition","wk_lsu_ld_ag | 15）line-1578","srcs/xx_lsu_ld_ag.sv","wk_lsu_ld_ag","15）line-1578","排除原因：如果是第二笔（lag_ldc_ex1_secd=1），意味着是跨界请求（ld_ag_bouncary_unmask不为0）","仅影响所列代码覆盖率统计；不替代功能正确性与全芯片动态签核","静态代码审查；在具备VCS/URG的全芯片环境复核适用边界","DOCX代码覆盖率排除项","待项目评审确认","1.2.3","来源：07_xxx_代码与功能覆盖率排除说明文档.docx；分组及同理排除引用按原文保留"
"condition","wk_lsu_ld_ag | 16）wk_lsu_ld_ag.sv - 2721","srcs/xx_lsu_ld_ag.sv","wk_lsu_ld_ag","16）wk_lsu_ld_ag.sv - 2721","排除原因：重发指令不会访问sfp表项，lag_ex1_sfp_pc_hit=x","仅影响所列代码覆盖率统计；不替代功能正确性与全芯片动态签核","静态代码审查；在具备VCS/URG的全芯片环境复核适用边界","DOCX代码覆盖率排除项","待项目评审确认","1.2.3","来源：07_xxx_代码与功能覆盖率排除说明文档.docx；分组及同理排除引用按原文保留"
"condition","wk_lsu_ld_ag | 17）line-3022，排除子表达式!lag_ldc_ex1_already_da单独为0的条件","srcs/xx_lsu_ld_ag.sv","wk_lsu_ld_ag","17）line-3022，排除子表达式!lag_ldc_ex1_already_da单独为0的条件","排除原因：如果该子表达式所述条件成立，表示重发请求，va已经计算完毕，不会再产生跨页停顿。","仅影响所列代码覆盖率统计；不替代功能正确性与全芯片动态签核","静态代码审查；在具备VCS/URG的全芯片环境复核适用边界","DOCX代码覆盖率排除项","待项目评审确认","1.2.3","来源：07_xxx_代码与功能覆盖率排除说明文档.docx；分组及同理排除引用按原文保留"
"condition","wk_lsu_ld_ag | 18）wk_lsu_ld_ag.sv – 1456","srcs/xx_lsu_ld_ag.sv","wk_lsu_ld_ag","18）wk_lsu_ld_ag.sv – 1456","排除原因：同12","仅影响所列代码覆盖率统计；不替代功能正确性与全芯片动态签核","静态代码审查；在具备VCS/URG的全芯片环境复核适用边界","DOCX代码覆盖率排除项","待项目评审确认","1.2.3","来源：07_xxx_代码与功能覆盖率排除说明文档.docx；分组及同理排除引用按原文保留"
"condition","wk_lsu_ld_ag | 19）wk_lsu_ld_ag.sv – 2797","srcs/xx_lsu_ld_ag.sv","wk_lsu_ld_ag","19）wk_lsu_ld_ag.sv – 2797","排除原因：重发的指令不会创建lrq，lag_lrq_create_already=0","仅影响所列代码覆盖率统计；不替代功能正确性与全芯片动态签核","静态代码审查；在具备VCS/URG的全芯片环境复核适用边界","DOCX代码覆盖率排除项","待项目评审确认","1.2.3","来源：07_xxx_代码与功能覆盖率排除说明文档.docx；分组及同理排除引用按原文保留"
"condition","wk_lsu_ld_ag | 20）line-2784","srcs/xx_lsu_ld_ag.sv","wk_lsu_ld_ag","20）line-2784","排除原因：ld_ag_mmu_stall_req tie0，同理排除2804","仅影响所列代码覆盖率统计；不替代功能正确性与全芯片动态签核","静态代码审查；在具备VCS/URG的全芯片环境复核适用边界","DOCX代码覆盖率排除项","待项目评审确认","1.2.3","来源：07_xxx_代码与功能覆盖率排除说明文档.docx；分组及同理排除引用按原文保留"
"condition","wk_lsu_ld_ag | 21）line-2665","srcs/xx_lsu_ld_ag.sv","wk_lsu_ld_ag","21）line-2665","排除","仅影响所列代码覆盖率统计；不替代功能正确性与全芯片动态签核","静态代码审查；在具备VCS/URG的全芯片环境复核适用边界","DOCX代码覆盖率排除项","待项目评审确认","1.2.3","来源：07_xxx_代码与功能覆盖率排除说明文档.docx；分组及同理排除引用按原文保留"
"condition","wk_lsu_ld_ag | 22）wk_lsu_ld_ag.sv-2855","srcs/xx_lsu_ld_ag.sv","wk_lsu_ld_ag","22）wk_lsu_ld_ag.sv-2855","排除原因：该条件满足前一个分支，如下图所示：","仅影响所列代码覆盖率统计；不替代功能正确性与全芯片动态签核","静态代码审查；在具备VCS/URG的全芯片环境复核适用边界","DOCX代码覆盖率排除项","待项目评审确认","1.2.3","来源：07_xxx_代码与功能覆盖率排除说明文档.docx；分组及同理排除引用按原文保留"
